"","Point d'echantillonnage","date","Temperature(oc)","Conductivite(us/cm2)","pH","Signe","Coliformes (colonies/100ml)"
"1","BLAP-0.5","2013-07-15",25,260,17,"=",2
"2","BLAP-0.5","2013-09-24",16.9,178,20,"=",5
"3","BLAP-0.5","2013-08-07",23,214,16,"=",400
"4","BLAP-0.5","2013-08-19",22.9,187,16,"=",15
"5","BLAP-0.5","2013-09-09",18.8,182,16,"=",18
"6","BLAP-0.5","2013-07-02",20.1,124,12,"=",52
"7","BLAP-0.5","2013-07-08",23.5,211,20,"=",150
"8","BLAP-0.5","2013-08-28",24,145,15,"=",15
"9","BLAP-0.5","2013-05-20",14.3,72,9,"=",7
"10","BLAP-0.5","2013-07-23",24.4,264,15,"=",310
"11","BLAP-0.5","2013-08-13",23.2,195,16,"=",72
"12","BLAP-0.5","2013-07-29",23.3,187,16,"=",460
"13","BLAP-0.5","2013-05-29",14,81,8,"=",13
"14","BLAP-0.5","2013-06-11",16.6,83,7,"=",470
"15","BLAP-0.5","2013-06-17",17.8,115,9,"=",170
"16","BLAP-0.5","2013-06-26",21.2,156,13,"=",31
"17","BLAP-0.5","2013-09-03",22.2,237,14,"=",52
"18","BLAP-0.5","2013-09-18",18.2,178,16,"=",11
"19","BLAP-0.5","2013-06-04",16.3,86,10,"=",26
"20","BLAP-0.5","2013-05-13",11.1,74,7,"=",11
"21","BLAP-01","2013-07-15",24.9,240,13,"=",72
"22","BLAP-01","2013-09-24",17.3,180,15,"=",100
"23","BLAP-01","2013-08-07",23.7,194,16,"=",52
"24","BLAP-01","2013-08-19",23,181,15,"=",34
"25","BLAP-01","2013-09-09",18.9,170,14,"=",220
"26","BLAP-01","2013-07-02",20.8,130,15,"=",76
"27","BLAP-01","2013-07-08",25.3,174,12,"=",120
"28","BLAP-01","2013-05-20",15.2,81,9,"=",33
"29","BLAP-01","2013-07-23",25.2,251,13,"=",2800
"30","BLAP-01","2013-08-13",23.7,208,17,"=",66
"31","BLAP-01","2013-07-29",23.6,194,14,"=",100
"32","BLAP-01","2013-05-29",15.8,81,9,"=",36
"33","BLAP-01","2013-06-11",16.9,95,7,"=",500
"34","BLAP-01","2013-06-26",22.4,144,12,"=",170
"35","BLAP-01","2013-06-17",19.6,110,8,"=",310
"36","BLAP-01","2013-09-03",22.9,230,12,"=",600
"37","BLAP-01","2013-09-18",17.4,156,13,"=",66
"38","BLAP-01","2013-06-04",18.3,97,8,"=",98
"39","BLAP-01","2013-08-28",23.9,197,15,"=",26
"40","BLAP-01","2013-05-13",13.5,91,6,"=",46
"41","BLAP-02","2013-07-15",26.4,212,15,"=",40
"42","BLAP-02","2013-09-24",17.9,163,16,"=",7
"43","BLAP-02","2013-08-19",23.1,205,15,"=",3
"44","BLAP-02","2013-09-09",19.5,204,13,"=",11
"45","BLAP-02","2013-07-02",20.8,160,11,"=",21
"46","BLAP-02","2013-08-07",24,197,16,"=",20
"47","BLAP-02","2013-07-08",24.2,148,14,"=",26
"48","BLAP-02","2013-08-28",24.6,196,14,"=",96
