"","Point d'echantillonnage","date","Temperature(oc)","Conductivite(us/cm2)","pH","Signe","Coliformes (colonies/100ml)","julian"
"1","BLAP-0.5","2013-07-15",25,260,17,"=",2,196
"2","BLAP-0.5","2013-09-24",16.9,178,20,"=",5,267
"3","BLAP-0.5","2013-08-07",23,214,16,"=",400,219
"4","BLAP-0.5","2013-08-19",22.9,187,16,"=",15,231
"5","BLAP-0.5","2013-09-09",18.8,182,16,"=",18,252
"6","BLAP-0.5","2013-07-02",20.1,124,12,"=",52,183
"7","BLAP-0.5","2013-07-08",23.5,211,20,"=",150,189
"8","BLAP-0.5","2013-08-28",24,145,15,"=",15,240
"9","BLAP-0.5","2013-05-20",14.3,72,9,"=",7,140
"10","BLAP-0.5","2013-07-23",24.4,264,15,"=",310,204
"11","BLAP-0.5","2013-08-13",23.2,195,16,"=",72,225
"12","BLAP-0.5","2013-07-29",23.3,187,16,"=",460,210
"13","BLAP-0.5","2013-05-29",14,81,8,"=",13,149
"14","BLAP-0.5","2013-06-11",16.6,83,7,"=",470,162
"15","BLAP-0.5","2013-06-17",17.8,115,9,"=",170,168
"16","BLAP-0.5","2013-06-26",21.2,156,13,"=",31,177
"17","BLAP-0.5","2013-09-03",22.2,237,14,"=",52,246
"18","BLAP-0.5","2013-09-18",18.2,178,16,"=",11,261
"19","BLAP-0.5","2013-06-04",16.3,86,10,"=",26,155
"20","BLAP-0.5","2013-05-13",11.1,74,7,"=",11,133
"21","BLAP-01","2013-07-15",24.9,240,13,"=",72,196
"22","BLAP-01","2013-09-24",17.3,180,15,"=",100,267
"23","BLAP-01","2013-08-07",23.7,194,16,"=",52,219
"24","BLAP-01","2013-08-19",23,181,15,"=",34,231
"25","BLAP-01","2013-09-09",18.9,170,14,"=",220,252
"26","BLAP-01","2013-07-02",20.8,130,15,"=",76,183
"27","BLAP-01","2013-07-08",25.3,174,12,"=",120,189
"28","BLAP-01","2013-05-20",15.2,81,9,"=",33,140
"29","BLAP-01","2013-07-23",25.2,251,13,"=",2800,204
"30","BLAP-01","2013-08-13",23.7,208,17,"=",66,225
"31","BLAP-01","2013-07-29",23.6,194,14,"=",100,210
"32","BLAP-01","2013-05-29",15.8,81,9,"=",36,149
"33","BLAP-01","2013-06-11",16.9,95,7,"=",500,162
"34","BLAP-01","2013-06-26",22.4,144,12,"=",170,177
"35","BLAP-01","2013-06-17",19.6,110,8,"=",310,168
"36","BLAP-01","2013-09-03",22.9,230,12,"=",600,246
"37","BLAP-01","2013-09-18",17.4,156,13,"=",66,261
"38","BLAP-01","2013-06-04",18.3,97,8,"=",98,155
"39","BLAP-01","2013-08-28",23.9,197,15,"=",26,240
"40","BLAP-01","2013-05-13",13.5,91,6,"=",46,133
"41","BLAP-02","2013-07-15",26.4,212,15,"=",40,196
"42","BLAP-02","2013-09-24",17.9,163,16,"=",7,267
"43","BLAP-02","2013-08-19",23.1,205,15,"=",3,231
"44","BLAP-02","2013-09-09",19.5,204,13,"=",11,252
"45","BLAP-02","2013-07-02",20.8,160,11,"=",21,183
"46","BLAP-02","2013-08-07",24,197,16,"=",20,219
"47","BLAP-02","2013-07-08",24.2,148,14,"=",26,189
"48","BLAP-02","2013-08-28",24.6,196,14,"=",96,240
"49","BLAP-02","2013-05-20",15.7,93,9,"=",120,140
"50","BLAP-02","2013-07-23",26,275,15,"=",54,204
"51","BLAP-02","2013-07-29",23.9,220,15,"=",11,210
"52","BLAP-02","2013-05-29",15.2,82,9,"=",100,149
"53","BLAP-02","2013-08-13",24.5,197,15,"=",20,225
"54","BLAP-02","2013-06-11",17.1,107,8,"=",120,162
"55","BLAP-02","2013-06-17",18.6,110,9,"=",32,168
"56","BLAP-02","2013-06-26",22.6,140,12,"=",25,177
"57","BLAP-02","2013-09-03",22.8,237,12,"=",25,246
"58","BLAP-02","2013-09-18",18.3,169,14,"=",7,261
"59","BLAP-02","2013-06-04",19.1,103,10,"=",66,155
"60","BLAP-02","2013-05-13",14.1,113,7,"=",8,133
"61","BLAP-1","2013-07-15",23.7,264,16,"=",10,196
"62","BLAP-1","2013-09-24",16.7,210,17,"=",11,267
"63","BLAP-1","2013-08-07",22.7,239,17,"=",7,219
"64","BLAP-1","2013-08-19",22.7,225,16,"=",7,231
"65","BLAP-1","2013-09-09",18.8,217,16,"=",5,252
"66","BLAP-1","2013-07-02",19.9,141,8,"=",30,183
"67","BLAP-1","2013-07-08",22.7,221,12,"=",66,189
"68","BLAP-1","2013-08-28",23.5,230,15,"=",7,240
"69","BLAP-1","2013-05-20",13.6,68,8,"=",5,140
"70","BLAP-1","2013-07-23",23.8,267,14,"=",98,204
"71","BLAP-1","2013-07-29",23.3,208,15,"=",25,210
"72","BLAP-1","2013-08-13",23.1,223,16,"=",20,225
"73","BLAP-1","2013-05-29",13.7,82,6,"=",8,149
"74","BLAP-1","2013-06-11",16.6,90,6,"=",300,162
"75","BLAP-1","2013-06-17",17.5,121,8,"=",18,168
"76","BLAP-1","2013-06-26",20.8,170,8,"=",44,177
"77","BLAP-1","2013-09-03",22.4,253,14,"=",52,246
"78","BLAP-1","2013-09-18",17.6,214,15,"=",10,261
"79","BLAP-1","2013-06-04",15.9,82,8,"=",16,155
"80","BLAP-1","2013-05-13",11.3,70,6,"=",3,133
"81","BLAP-10.5","2013-05-14",11.1,94,8,"=",3,134
"82","BLAP-10.5","2013-06-05",15.5,133,11,"=",3,156
"83","BLAP-10.5","2013-07-16",23,350,10,"=",16,197
"84","BLAP-10.5","2013-09-25",16.1,389,9,"=",8,268
"85","BLAP-10.5","2013-08-20",21.7,372,12,"=",25,232
"86","BLAP-10.5","2013-07-03",20,231,23,"=",11,184
"87","BLAP-10.5","2013-06-24",19.1,295,9,"=",80,175
"88","BLAP-10.5","2013-09-16",17.1,357,10,"=",130,259
"89","BLAP-10.5","2013-05-21",13.1,94,8,"=",5,141
"90","BLAP-10.5","2013-08-14",21.6,317,13,"=",210,226
"91","BLAP-10.5","2013-08-26",21.8,318,11,"=",20,238
"92","BLAP-10.5","2013-09-10",18.5,294,10,"=",12,253
"93","BLAP-10.5","2013-05-27",11.8,117,9,"=",18,147
"94","BLAP-10.5","2013-07-09",22.1,268,12,"=",8,190
"95","BLAP-10.5","2013-07-30",21.9,315,11,"=",80,211
"96","BLAP-10.5","2013-07-24",22,420,10,"=",120,205
"97","BLAP-10.5","2013-08-05",20.6,340,9,"=",15,217
"98","BLAP-10.5","2013-06-10",16.6,149,14,"=",18,161
"99","BLAP-10.5","2013-06-18",16.9,203,15,"=",29,169
"100","BLAP-10.5","2013-09-04",21,341,12,"=",86,247
"101","BLAP-2.5","2013-07-15",25,259,17,"=",58,196
"102","BLAP-2.5","2013-09-24",17.4,240,18,"=",20,267
"103","BLAP-2.5","2013-08-07",23.3,230,17,"=",13,219
"104","BLAP-2.5","2013-08-19",23.3,234,16,"=",2,231
"105","BLAP-2.5","2013-09-09",19.7,232,19,"=",11,252
"106","BLAP-2.5","2013-07-02",20.3,150,14,"=",31,183
"107","BLAP-2.5","2013-07-08",23.1,220,16,"=",82,189
"108","BLAP-2.5","2013-08-28",24.8,240,19,"=",11,240
"109","BLAP-2.5","2013-05-20",15.1,73,9,"=",3,140
"110","BLAP-2.5","2013-07-29",23.4,216,15,"=",34,210
"111","BLAP-2.5","2013-08-13",23.5,238,17,"=",54,225
"112","BLAP-2.5","2013-05-29",14.2,88,7,"=",18,149
"113","BLAP-2.5","2013-06-11",16.5,104,6,"=",360,162
"114","BLAP-2.5","2013-07-23",24.7,255,15,"=",100,204
"115","BLAP-2.5","2013-06-17",18.2,129,10,"=",270,168
"116","BLAP-2.5","2013-06-26",20.9,165,11,"=",110,177
"117","BLAP-2.5","2013-09-03",22.9,254,17,"=",76,246
"118","BLAP-2.5","2013-09-18",18.2,223,19,"=",5,261
"119","BLAP-2.5","2013-06-04",16.9,90,10,"=",31,155
"120","BLAP-2.5","2013-05-13",11.6,71,6,"=",16,133
