"","date","ID","Provider","ScientificName","DecimalLatitude","DecimalLongitude","StartCollectionDate","EndCollectionDate","Citation","Country","StateProvince","CountyName","GUID","Kingdom","GeoreferenceProtocol","Memo","DateLastModified","CollectionDatePrecision","CoordinateUncertaintyInMeters","GeodeticDatum","CoordinatePrecision","Language","URL","LocationValue","LocationStandard","LocalityType"
"235068","2012-02-02",2270796,"Nonindigenous Aquatic Species Program","Platichthys flesus",48.291619,-89.208688,"2012-02-02 14:19:52","2012-02-02 14:19:52","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"235150","2012-02-02",2270878,"Nonindigenous Aquatic Species Program","Dorosoma cepedianum",45.348285,-80.738525,"2012-02-02 14:19:53","2012-02-02 14:19:53","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"238900","2012-02-02",2274629,"Nonindigenous Aquatic Species Program","Platichthys flesus",42.620318,-80.400009,"2012-02-02 14:21:48","2012-02-02 14:21:48","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239392","2012-02-02",2275121,"Nonindigenous Aquatic Species Program","Gymnocephalus cernua",48.45146,-89.18075,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239393","2012-02-02",2275122,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",42.9756202698,-82.4143829346,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239394","2012-02-02",2275123,"Nonindigenous Aquatic Species Program","Oncorhynchus gorbuscha",48.41009,-89.21706,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239395","2012-02-02",2275124,"Nonindigenous Aquatic Species Program","Osmerus mordax",42.78168,-80.20025,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239396","2012-02-02",2275125,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",43.6777229309,-81.7320861816,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239397","2012-02-02",2275126,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",42.2490921021,-81.9099731445,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239398","2012-02-02",2275127,"Nonindigenous Aquatic Species Program","Morone americana",43.11485,-79.19598,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239399","2012-02-02",2275128,"Nonindigenous Aquatic Species Program","Gymnocephalus cernua",48.467580343,-89.0097343305,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239400","2012-02-02",2275129,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",41.9741287231,-82.8830184937,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239401","2012-02-02",2275130,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",41.956363678,-82.6708068848,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239402","2012-02-02",2275131,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",41.9154586792,-82.5671844482,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239403","2012-02-02",2275132,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",41.9083824158,-82.4998168945,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239404","2012-02-02",2275133,"Nonindigenous Aquatic Species Program","Gymnocephalus cernua",48.45146,-89.18075,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239405","2012-02-02",2275134,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",42.505,-81.5892,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239406","2012-02-02",2275135,"Nonindigenous Aquatic Species Program","Gymnocephalus cernua",48.3802566528,-89.2614898682,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239407","2012-02-02",2275136,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",42.027,-82.739,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239408","2012-02-02",2275137,"Nonindigenous Aquatic Species Program","Proterorhinus semilunaris",42.027,-82.739,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239409","2012-02-02",2275138,"Nonindigenous Aquatic Species Program","Proterorhinus semilunaris",42.027,-82.739,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239410","2012-02-02",2275139,"Nonindigenous Aquatic Species Program","Oncorhynchus gorbuscha",48.41009,-89.21706,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239411","2012-02-02",2275140,"Nonindigenous Aquatic Species Program","Gymnocephalus cernua",48.387608,-89.234219,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239412","2012-02-02",2275141,"Nonindigenous Aquatic Species Program","Neogobius melanostomus",42.9091110229,-79.1875991821,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
"239413","2012-02-02",2275142,"Nonindigenous Aquatic Species Program","Salvelinus alpinus",43.896,-78.6025,"2012-02-02 14:21:54","2012-02-02 14:21:54","USGS/NAS database. 2012.","Canada",NA,"","",5,NA,"","",NA,NA,NA,NA,"English","",NA,NA,NA
