"","date","precip.mm","tempMax","tempMin"
"1","2000-01-01",0,0.6,-9.9
"2","2000-01-02",5,1,-1.3
"3","2000-01-03",0.4,8.6,-5.8
"4","2000-01-04",10.2,7.5,-6
"5","2000-01-05",0,-5.8,-12.6
"6","2000-01-06",0,0.2,-12.6
"7","2000-01-07",6,1.6,-7.1
"8","2000-01-08",0,-1.6,-11.9
"9","2000-01-09",0,4.4,-3.9
"10","2000-01-10",35.8,5,0.2
"11","2000-01-11",1.2,5.3,-0.1
"12","2000-01-12",0,-0.1,-12.2
"13","2000-01-13",0,-12.1,-18.9
"14","2000-01-14",0,-16,-20.5
"15","2000-01-15",0,-8.6,-21.6
"16","2000-01-16",12.6,-3,-21.8
"17","2000-01-17",0,-18.9,-25.5
"18","2000-01-18",0,-18.4,-26
"19","2000-01-19",0,-13,-24
"20","2000-01-20",2.2,-11.6,-17.1
"21","2000-01-21",0,-14.2,-22.3
"22","2000-01-22",0,-19.8,-24.3
"23","2000-01-23",0.4,-13.4,-23.7
"24","2000-01-24",0.2,-3.3,-15.2
"25","2000-01-25",4.2,-6.3,-15.5
"26","2000-01-26",7.6,-5.8,-13
"27","2000-01-27",0,-12.9,-18.9
"28","2000-01-28",0.2,-12.7,-18.8
"29","2000-01-29",0,-7.7,-18.6
"30","2000-01-30",0.6,-2.4,-14
"31","2000-01-31",9.2,-0.6,-6.8
"32","2000-02-01",0.7,-2.1,-12.1
"33","2000-02-02",0.6,-12,-16.5
"34","2000-02-03",0,-10.1,-20.9
"35","2000-02-04",0,-8.8,-21.2
"36","2000-02-05",0.8,-6.7,-16.3
"37","2000-02-06",0,-2.8,-14.5
"38","2000-02-07",0,-1.8,-17.7
"39","2000-02-08",0,-6.6,-19.1
"40","2000-02-09",5.2,1.3,-9.6
"41","2000-02-10",8.8,-8.5,-15.8
"42","2000-02-11",9.8,-4.5,-14.2
"43","2000-02-12",0,-10.6,-21.5
"44","2000-02-13",4.1,-6.7,-21.6
"45","2000-02-14",20.4,-4.7,-7.4
"46","2000-02-15",0,-2.8,-9.6
"47","2000-02-16",14.2,-0.2,-11.3
"48","2000-02-17",0,-11,-21.4
"49","2000-02-18",0,-8.2,-19.5
"50","2000-02-19",0,-2.3,-14.8
"51","2000-02-20",0.2,-1.4,-14.6
"52","2000-02-21",0,-2,-13.7
"53","2000-02-22",0,2.5,-9.4
"54","2000-02-23",0,7.3,-1.2
"55","2000-02-24",0.8,5.8,2
"56","2000-02-25",0,3.5,-0.9
"57","2000-02-26",0,6.8,2.1
"58","2000-02-27",6.4,10.9,3.4
"59","2000-02-28",1,6.6,-0.3
"60","2000-02-29",0,3.5,-2.6
"61","2000-03-01",3.4,5.8,-1.6
"62","2000-03-02",0,4.2,-0.2
"63","2000-03-03",3.2,1.5,-3.5
"64","2000-03-04",0,3.1,-4.6
"65","2000-03-05",1.5,6,-2.8
"66","2000-03-06",0,5.1,-3.9
"67","2000-03-07",0,6,-0.4
"68","2000-03-08",0,10.8,-0.5
"69","2000-03-09",3.7,17.4,-4.8
"70","2000-03-10",0,-2.8,-10.6
"71","2000-03-11",4.8,-1.9,-5.2
"72","2000-03-12",11.6,1.8,-7.7
"73","2000-03-13",0,-3.5,-13.5
"74","2000-03-15",5.1,4.4,0.6
"75","2000-03-16",8.5,5.8,-4
"76","2000-03-17",0,-2.2,-9.5
"77","2000-03-18",0,-1.9,-11.3
"78","2000-03-19",0,7.2,-7.4
"79","2000-03-20",0,9,-0.2
"80","2000-03-21",0,10.8,-1.6
"81","2000-03-22",0,13.2,-0.1
"82","2000-03-23",0,15.9,1.1
"83","2000-03-24",0,12.6,-0.2
"84","2000-03-25",3.2,11.4,2.8
"85","2000-03-26",0,9.7,-0.2
"86","2000-03-27",0.6,11.8,-0.1
"87","2000-03-28",15.2,8.4,3.7
"88","2000-03-29",4.8,5.1,1.7
"89","2000-03-30",0.6,6.1,0.8
"90","2000-03-31",0,8.1,-2
"91","2000-04-01",0,13.3,0.7
"92","2000-04-02",2,11.8,1.3
"93","2000-04-03",1,10.3,-1.6
"94","2000-04-04",15,9.6,4.1
"95","2000-04-05",1.5,4.2,-1
"96","2000-04-06",2,3.6,-0.8
"97","2000-04-07",0.5,8.6,0.9
"98","2000-04-08",32.2,5.6,-0.9
"99","2000-04-09",35.5,-0.9,-3.2
"100","2000-04-10",0,5.2,-2
"101","2000-04-11",4,1,-3.2
"102","2000-04-12",1.4,4,-4.1
"103","2000-04-13",0,6,-4.8
"104","2000-04-14",0,13.5,-1.8
"105","2000-04-15",0,21.9,3.2
"106","2000-04-16",0,10.4,0.4
"107","2000-04-17",0,4.4,-2.1
"108","2000-04-18",0,11.4,-0.4
"109","2000-04-19",0,11.1,5.3
"110","2000-04-20",0,13.9,6.7
"111","2000-04-21",10.5,8.1,3.6
"112","2000-04-22",5,6.7,4.1
"113","2000-04-23",0.5,7.7,4
"114","2000-04-25",0,10.1,1.5
"115","2000-04-26",0,10.7,1.1
"116","2000-04-27",0,10.3,3.2
"117","2000-04-28",0,17.5,4.2
"118","2000-04-29",0.4,19.9,4.4
"119","2000-04-30",0,13.5,2.5
"120","2000-05-01",1,14.6,5
"121","2000-05-02",0,15,4.3
"122","2000-05-03",0,18.9,1.6
"123","2000-05-04",0.5,24.4,5.1
"124","2000-05-05",0,23.5,14.6
"125","2000-05-06",1.5,17.4,10.1
"126","2000-05-07",5.5,27.5,9.1
"127","2000-05-10",29.5,12.5,6.7
"128","2000-05-11",1.5,16.3,9.7
"129","2000-05-12",0,20.5,8.3
"130","2000-05-13",2.5,22.2,10.8
"131","2000-05-14",0,15.8,8.4
"132","2000-05-15",0,14.3,6.4
"133","2000-05-16",0,17.9,5.8
"134","2000-05-17",0,19.8,6.7
"135","2000-05-18",34.5,14.7,4.2
"136","2000-05-19",0,12.4,2
"137","2000-05-20",0,17.1,2.8
"138","2000-05-21",0,17.1,9
"139","2000-05-22",0,19.3,12.2
"140","2000-05-23",1,19.5,12.8
"141","2000-05-24",22,21.6,12.5
"142","2000-05-25",6,18.2,11.1
"143","2000-05-26",1.5,17.2,9
"144","2000-05-27",0,17.2,8.1
"145","2000-05-28",0,15.9,9.8
"146","2000-05-29",0,19.3,8.6
"147","2000-05-30",0,23.3,8.8
"148","2000-05-31",0,20.9,12.8
"149","2000-06-01",0,24.4,14.5
"150","2000-06-02",0.5,21.9,11.1
"151","2000-06-03",1,21.9,9
"152","2000-06-04",1,16.1,5.7
"153","2000-06-05",0,20.1,3.1
"154","2000-06-06",0.5,14.6,8.6
"155","2000-06-07",0,20,8.1
"156","2000-06-08",3.5,19.7,10.9
"157","2000-06-09",0,18.9,12.4
"158","2000-06-10",3,14.2,8
"159","2000-06-11",13,14.6,7.2
"160","2000-06-12",0,20.5,8.4
"161","2000-06-13",0,20.9,11.8
"162","2000-06-14",0,18.3,12.8
"163","2000-06-15",18,25.9,14.1
"164","2000-06-16",0.5,28.5,18
"165","2000-06-17",0.5,24,13.4
"166","2000-06-18",0,16.2,10.3
"167","2000-06-19",0.5,21.9,8.9
"168","2000-06-20",0,25.8,13.3
"169","2000-06-21",11,22.6,17.5
"170","2000-06-22",3,27.3,16.7
"171","2000-06-23",0,22.3,14.4
"172","2000-06-24",0,25.9,13.5
"173","2000-06-25",15,25.1,19.5
"174","2000-06-26",0,30.4,18.9
"175","2000-06-27",3.5,26,16.2
"176","2000-06-28",0,23.2,14.7
"177","2000-06-29",0,23.5,15.6
"178","2000-06-30",3,23.6,15.2
"179","2000-07-01",15,26.1,14.9
"180","2000-07-02",0.5,27.1,16.6
"181","2000-07-03",3.5,21.1,17.2
"182","2000-07-04",0.5,26.1,15.3
"183","2000-07-05",0,21.2,12.8
"184","2000-07-06",0,22.3,11.3
"185","2000-07-07",2.5,20.5,10.4
"186","2000-07-09",3.5,19.7,15.3
"187","2000-07-10",2,24.8,15.3
"188","2000-07-11",0,24.5,14.1
"189","2000-07-12",0,28.5,13.1
"190","2000-07-13",0,27.3,17.2
"191","2000-07-14",0,28.6,16
"192","2000-07-15",0.5,24.8,17.6
"193","2000-07-16",3,24.4,16.5
"194","2000-07-17",0.5,24.9,18.7
"195","2000-07-18",4.5,24,13.8
"196","2000-07-19",0,20.6,12
"197","2000-07-20",0,23,9.6
"198","2000-07-21",0,21.2,14.2
"199","2000-07-22",1.5,21.6,14.1
"200","2000-07-23",4.5,24,13.7
"201","2000-07-24",0,27.1,15.8
"202","2000-07-25",0,29.3,15.5
"203","2000-07-26",0,28.3,18.7
"204","2000-07-27",3.5,24.3,18.3
"205","2000-07-28",0.5,27.1,18.5
"206","2000-07-29",1.5,27.6,18.4
"207","2000-07-30",0,28.3,18.6
"208","2000-07-31",0,27,19.8
"209","2000-08-01",7,23.6,18.8
"210","2000-08-02",0,28.6,19.4
"211","2000-08-03",7,26.2,14.2
"212","2000-08-04",0,23.6,12.6
"213","2000-08-05",0,25.1,14.2
"214","2000-08-06",0,25.5,15.6
"215","2000-08-07",4,25.1,18
"216","2000-08-08",0.5,25.9,18.3
"217","2000-08-09",10.5,25.8,18.8
"218","2000-08-10",0,27.3,16.7
"219","2000-08-11",2,22.1,16.4
"220","2000-08-12",0,26.5,16.2
"221","2000-08-13",0,26.8,13.3
"222","2000-08-14",0,26.6,15.4
"223","2000-08-15",32.5,27.6,16.6
"224","2000-08-16",10,24.7,13.4
"225","2000-08-17",0,16.7,10.5
"226","2000-08-18",0,21.6,10.5
"227","2000-08-19",3,21.7,12.2
"228","2000-08-20",1,20.4,11.4
"229","2000-08-21",0,23.9,10.5
"230","2000-08-22",0,22.9,13.6
"231","2000-08-23",11,18.6,15.3
"232","2000-08-24",0,23.6,15.5
"233","2000-08-25",0,27.1,15.5
"234","2000-08-26",13.5,26.4,15.6
"235","2000-08-27",0.5,23.6,14.1
"236","2000-08-28",0,22.5,11.1
"237","2000-08-29",0,26.9,11.5
"238","2000-08-30",0,27.5,19.1
"239","2000-08-31",0,29.2,18.6
"240","2000-09-01",0,30,15.5
"241","2000-09-02",7,16.9,12.5
"242","2000-09-03",4,21.4,11.4
"243","2000-09-04",0,19.3,6.4
"244","2000-09-05",0,16.7,5.2
"245","2000-09-06",0,18.3,4.9
"246","2000-09-07",0,22.9,10.4
"247","2000-09-08",0,23.7,13.9
"248","2000-09-09",0,23.6,11.7
"249","2000-09-10",0,25.6,10.8
"250","2000-09-11",15,20.3,18.5
"251","2000-09-12",18.5,25,15.9
"252","2000-09-13",0,21.6,11.7
"253","2000-09-14",0.5,19.1,14.7
"254","2000-09-15",7,16.1,11.1
"255","2000-09-17",0,17.7,9.6
"256","2000-09-18",0,19.7,9.2
"257","2000-09-19",0,25.2,11.4
"258","2000-09-20",0,27.1,11.5
"259","2000-09-21",4,21.2,10.7
"260","2000-09-22",0,14.5,8
"261","2000-09-23",8,13.2,11.2
"262","2000-09-24",0.5,15.4,3
"263","2000-09-25",0,14.2,1.8
"264","2000-09-26",0,15,3.5
"265","2000-09-27",0.5,18.7,4.3
"266","2000-09-28",0,8.6,-0.8
"267","2000-09-29",0,12.7,-0.7
"268","2000-09-30",0,20.4,5.6
"269","2000-10-01",0,22.3,9.5
"270","2000-10-02",0,23.1,11.1
"271","2000-10-03",0,21.8,10.9
"272","2000-10-04",0,13.6,8.6
"273","2000-10-05",1.5,11.5,5.3
"274","2000-10-06",2,9.5,6
"275","2000-10-07",2.5,10,2.8
"276","2000-10-08",0.5,6.9,2.7
"277","2000-10-09",0,7.8,1.6
"278","2000-10-10",2.2,5.8,0.3
"279","2000-10-11",0,15.1,3.4
