"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO"
"BLAP-0.5","2008-05-13","12,2","75","8","=","5","1"
"BLAP-0.5","2008-05-25","13,8","115","7,7","=","5","1"
"BLAP-0.5","2008-06-16","20,6","206","7,9","=","5","1"
"BLAP-0.5","2008-07-08","22,7","151","8,6","=","11","1"
"BLAP-0.5","2008-08-11","21,2","75","7,4","=","15","1"
"BLAP-0.5","2008-08-17","21,8","76","7,6","=","11","1"
"BLAP-0.5","2008-08-27","20,8","108","7,5","=","23","1"
"BLAP-0.5","2008-09-02","21,8","132","7,6","=","16","1"
"BLAP-0.5","2008-09-24","17,2","96","7,6","=","7","1"
"BLAP-0.5","2008-05-19","12,5","80","8","=","7","0"
"BLAP-0.5","2008-06-22","20","169","8,1","=","11","0"
"BLAP-0.5","2008-07-31","23,6","106","7,5","=","5","0"
"BLAP-0.5","2008-09-14","20,1","142","8","=","18","0"
"BLAP-0.5","2008-06-04","14,9","170","7,6","=","16","-1"
"BLAP-0.5","2008-06-10","19","212","7,4","=","13","-1"
"BLAP-0.5","2008-07-14","22,1","130","8","=","60","-1"
"BLAP-0.5","2008-07-20","22,9","151","7","=","20","-1"
"BLAP-0.5","2008-07-02","21,8","156","7,9","=","23","-2"
"BLAP-0.5","2008-08-05","21,7","140","7,6","=","11","-2"
"BLAP-0.5","2008-09-08","20,1","132","7,6","=","15","-2"
"BLAP-01","2008-05-13","13,3","86","8,2","=","7","1"
"BLAP-01","2008-05-25","14,8","84","7,6","=","13","1"
"BLAP-01","2008-06-16","21,4","196","7,7","=","30","1"
"BLAP-01","2008-07-08","23,3","135","8,2","=","82","1"
"BLAP-01","2008-08-11","20,6","106","7,4","=","150","1"
"BLAP-01","2008-08-17","22","91","7,7","=","16","1"
"BLAP-01","2008-08-27","21,4","88","7,5","=","44","1"
"BLAP-01","2008-09-02","22,6","97","7,6","=","140","1"
"BLAP-01","2008-09-24","16,6","91","7,5","=","21","1"
"BLAP-01","2008-05-19","13,5","87","8,1","=","10","0"
"BLAP-01","2008-06-22","21,2","171","8,1","=","52","0"
"BLAP-01","2008-07-31","22,3","102","7,5","=","160","0"
"BLAP-01","2008-09-14","19,8","128","7,9","=","28","0"
"BLAP-01","2008-06-04","15,6","132","7,5","=","20","-1"
"BLAP-01","2008-06-10","22,2","158","7,2","=","46","-1"
"BLAP-01","2008-07-14","22,7","118","7,9","=","170","-1"
"BLAP-01","2008-07-20","23,4","124","6,4","=","150","-1"
"BLAP-01","2008-07-02","22,6","177","7,6","=","26","-2"
"BLAP-01","2008-08-05","22,3","112","7,6","=","120","-2"
"BLAP-01","2008-09-08","20,8","129","7,5","=","76","-2"
"BLAP-02","2008-05-13","17,6","102","8,4","<","2","1"
"BLAP-02","2008-05-25","15,9","95","8,2","=","7","1"
"BLAP-02","2008-06-16","22,7","198","8,5","=","10","1"
"BLAP-02","2008-07-08","26,4","154","8,2","<","2","1"
"BLAP-02","2008-08-11","23,2","117","7,7","=","3","1"
"BLAP-02","2008-08-17","23,9","97","8,1","=","3","1"
"BLAP-02","2008-08-27","23,8","87","7,8","=","10","1"
"BLAP-02","2008-09-02","25,8","99","8,3","=","5","1"
"BLAP-02","2008-09-24","19,3","120","7,9","=","8","1"
"BLAP-02","2008-05-19","13,9","97","8,6","=","15","0"
"BLAP-02","2008-06-22","21,4","210","8,4","=","10","0"
"BLAP-02","2008-07-31","25,3","119","8,3","=","7","0"
"BLAP-02","2008-09-14","21,9","151","8,3","=","10","0"
"BLAP-02","2008-06-04","17,4","117","8,4","=","2","-1"
"BLAP-02","2008-06-10","26,4","153","8,3","=","3","-1"
"BLAP-02","2008-07-14","24,1","155","8,2","=","11","-1"
"BLAP-02","2008-07-20","23,9","133","8,4","=","8","-1"
"BLAP-02","2008-07-02","23,8","172","8,3","=","16","-2"
"BLAP-02","2008-08-05","25","111","8,2","=","7","-2"
"BLAP-02","2008-09-08","21,6","116","8,3","=","7","-2"
"BLAP-1","2008-05-13","12,2","80","7,9","=","8","1"
"BLAP-1","2008-05-25","13,6","133","7,9","=","5","1"
"BLAP-1","2008-06-16","21,2","204","8,1","=","7","1"
"BLAP-1","2008-07-08","22,7","160","8,5","=","10","1"
"BLAP-1","2008-08-11","21","97","7,5","=","15","1"
"BLAP-1","2008-08-17","21,6","96","7,6","=","8","1"
"BLAP-1","2008-08-27","21,2","143","7,5","=","25","1"
"BLAP-1","2008-09-02","22,2","155","7,7","=","16","1"
