"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"AAO-0.0","2012-05-22  11:45:24","89","8,4","721","8,3","16,6","=","9000","0","0,1","640,8","1,3","44","0,1","50780","0,1","0,5","9,3","2,6","6,14","1013,6","2900","16512","84,3","2,7","68920","136","2,6","91","1,5","16,3","0,543","0,7","1","0,7","2,3","23,8"
"AAO-0.0","2012-06-04  10:43:36","81","8,37","1190","8,1","13,5","=","440","-2","0,1","443","0,6","71","0,1","99380","0,1","0,3","4,4","1","2,454","569,2","3718","32500","69,2","2,8",,"98,4","2,4","55","1","9,6","0,5","0,5","1","1,7","1,7","13"
"AAO-0.0","2012-07-03  11:43:36","92","8,42","1467","7,9","19,5","=","54","1","0,1","188,7","0,7","71","0,1","107178","0,1","0,2","4,4","0,7","1,622","338","4264","37020","57,7","3,5","129964","20","2,2","57","0,8","6,3","0,5","0,5","1","1,7","1,2","9,3"
"AAO-0.0","2012-07-30  11:21:37","77","6,96","1468","7,9","20,1","=","36","1","0,1","109,7","0,5","74,9","0,1","129732","0,1","0,1","3","0,3","1,277","231,8","4256","36440","48,4","3","128738","20","2","48","0,6","5,3","0,5","0,5","1","1,7","1,3","6,9"
"AAO-0.0","2012-09-11  10:10:15","62","6,31","925","8,2","14,1","=","99","1","0,1","242","0,7","49,7","0,1","78520","0,1","0,2","4","0,8","1,532","327,2","3736","23880","43,5","2,5","68940","36,8","1,9","79","0,7","6,1","0,5","0,5","1","1,1","1,5","4,2"
"AAO-0.0","2012-10-10  10:46:15","82","8,8","1150","8,1","11,5","=","81","1","0,1","235,8","0,5","64,1","0,1","98580","0,1","0,2","3,3","1","2,814","408","4026","28460","47,3","2,3",,"126,3","2,1","50","0,9","8,6","0,5","0,5","1","1,2","1,2","5,9"
"AAO-0.0","2012-10-31  11:11:28","75","7,75","1429","7,9","12,9","=","220","-1","0,1","377,8","0,5","74,2","0,1","105960","0,1","0,3","3,5","0,9","4,372","611,8","4576","33700","57,9","3,1","139184","61,5","2,6","50","1,1","10,8","0,5","0,5","1","1,6","1,3","7,1"
"AAO-3.3P6","2012-05-22  12:08:04","97","9,26","330","8,4","17,6","=","23000","0","0,1","552,2","0,4","20,2","0,1","32080","0,1","0,4","6,3","2,9","7,312","582,8","1900","7696","37,4","1,3","22260","75","1,9","90","1,1","14,4","0,801","0,5","1","0,3","2,4","28,3"
"AAO-3.3P6","2012-06-04  10:58:39","86","9","1233","8,1","13","=","38000","-2","0,1","73,6","0,4","49,9","0,1","118868","0,1","0,3","2,9","0,6","3,696","231,2","3876","30960","54,2","2,3","93740","25,7","3,5","41","0,2","3,3","0,5","0,5","1","1,6","0,9","13"
"AAO-3.3P6","2012-07-03  11:57:37","98","9,08","1303","7,9","18,8","=","22000","1","0,1","32,8","0,4","53,4","0,1","113300","0,1","0,1","2,8","0,3","2,85","142,9","4140","31740","23,3","2,4","104296","109,9","2","60","0,2","6","0,5","0,5","1","1,5","0,8","9,1"
