"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"AAO-0.0","2013-04-15  11:20:32","96","12,17","1199","7,8","5,1","=","110","-2","0,1","430","0,3","61","0,1","92000","0,1","0,3","3,9","1,3","2,2","500","3400","31000","21","2,8","110000","20","2,2","26","0,3","4,1","0,5","0,6","1,8","1","7"
"AAO-0.0","2013-05-01  11:40:48","87","9,02","1115","7,6","13,2","=","72","1","0,1","49","0,3","94","0,1","98000","0,1","0,1","3,6","0,6","1,5","200","3400","37000","25","3,9","81000","20","1,9","15","0,2","1,6","0,5","0,5","1,8","0,5","3,4"
"AAO-0.0","2013-06-03  11:24:35","85","8,52","1104","7,7","14,6","=","2100","-1","0,1","150","0,5","59","0,1","91000","0,1","0,3","3,9","1","2,9","410","3500","28000","57","3,1","91000","50","2,2","39","0,5","7,1","0,5","0,5","1,6","0,9","6,6"
"AAO-0.0","2013-06-17  12:07:17","66","6,68","748","7,7","14,6","=","910","-1","0,1","340","0,4","46","0,1","58000","0,1","0,3","4,4","2","3","510","2300","17000","40","2,1","54000","40","1,8","54","1","9,7","0,5","0,5","0,9","1,5","9"
"AAO-0.0","2013-07-31  12:33:50","93","8,46","1075","7,8","19,9","=","130","-2","0,1","146","0,6","68,5","0,1","105000","0,1","0,3","4","1,1","1,87","303","4120","32500","46,2","3,6","50000","21","2,2","46","0,7","5","0,5","0,5","1,7","1,2","3"
"AAO-0.0","2013-08-28  11:02:41","73","6,73","1334","7,8","18,8","=","90","-2","0,1","164","0,7","72,3","0,1","102000","0,1","0,2","3,2","1","1,71","296","4620","35800","40,1","3,7","114000","29","1,9","46","0,7","6,6","0,5","0,5","1,9","1,1","3"
"AAO-0.0","2013-10-01  11:44:19","68","6,99","1556","7,9","13,8","=","140","1","0,1","305","0,5","81,1","0,1","110000","0,1","0,3","4,3","1,1","2,12","523","5010","39600","40","3,3","157000","20","2,4","42","1","12,4","0,5","0,5","1,6","1,3","3"
"AAO-3.3P6","2013-04-15  11:38:54","106","12,76","1312","7,9","7","=","4300","-2","0,1","59","0,2","46","0,1","130000","0,1","0,2","2,1","0,7","1,6","160","3800","35000","32","2,8","110000","20","2","19","0,2","2","0,5","0,6","2","0,6","4,9"
"AAO-3.3P6","2013-05-01  12:02:53","107","11,47","1581","7,8","11,6","=","2900","1","0,1","210","0,3","54","0,1","120000","0,1","0,3","2,8","1,1","2,5","480","4300","35000","65","2,3","160000","20","2,1","34","0,5","6","0,5","0,5","1,6","1","7"
"AAO-3.3P6","2013-06-03  11:34:06","100","10,35","1152","7,9","13,4","=","4500","-1","0,1","73","0,3","48","0,1","120000","0,1","0,2","2,7","0,9","2,6","220","4200","30000","55","2,8","80000","20","2","35","0,3","4,4","0,5","0,5","1,9","0,9","6,3"
"AAO-3.3P6","2013-06-17  12:22:56","98","10,11","1167","7,8","14","=","12000","-1","0,1","42","0,3","50","0,1","110000","0,1","0,2","2,7","0,7","2,1","160","3700","28000","42","2,6","75000","20","1,9","35","0,2","2,1","0,5","0,5","1,7","0,8","5,9"
"AAO-3.3P6","2013-07-31  12:52:22","89","8,2","1047","7,8","19","=","36000","-2","0,1","40,4","0,4","53,2","0,1","114000","0,1","0,2","3,2","0,8","2,67","171","4150","29700","71,6","2,7","81900","20","2","44","0,2","3","0,5","0,5","1,6","0,7","3"
"AAO-3.3P6","2013-08-28  11:22:43","84","7,69","1172","8","19,5","=","1700","-2","0,1","38,5","0,2","52,2","0,1","108000","0,1","0,1","2,4","0,6","2,45","142","5430","27300","37,5","2,4","78000","31","1,6","41","0,2","2,4","0,5","0,5","1,5","0,9","3"
"AAO-3.3P6","2013-10-01  12:02:57","80","7,68","1690","8","17,2","=","21000","1","0,1","82,4","0,5","55","0,1","108000","0,1","0,1","5","0,6","12,7","247","4330","26300","37,5","1","206000","65","3","51","0,2","4","0,5","0,5","1,2","1,1","11,1"
"AAO-3.5","2013-04-15  11:50:37","103","12,53","1716","7,8","6,4","=","27","-2","0,1","190","0,3","65","0,1","110000","0,1","0,2","3,7","0,9","1,9","410","4200","39000","25","3,2","190000","43","2,4","18","0,2","3,5","0,5","0,5","2","0,7","5,8"
"AAO-3.5","2013-05-01  12:11:35","95","10,24","1776","7,6","11,5","<","10","1","0,1","32","0,5","72","0,1","120000","0,1","0,3","3,7","0,5","1,2","660","4200","44000","47","4,4","180000","20","3","11","0,2","2,8","0,5","0,5","2","0,4","3,2"
"AAO-3.5","2013-06-03  12:13:52","82","8,47","1365","7,7","13,9","=","310","-1","0,1","140","0,5","70","0,1","99000","0,1","0,3","3,8","1,2","2,3","500","3400","33000","43","3,6","100000","20","2,4","27","0,4","5,7","0,5","0,5","1,7","0,8","6,8"
"AAO-3.5","2013-06-17  12:59:59","95","10","1302","7,9","12,9","=","1000","-1","0,1","72","0,3","69","0,1","99000","0,1","0,2","3,3","0,7","1,3","240","3000","30000","22","3,2","110000","20","2,1","19","0,2","2,7","0,5","0,5","1,7","0,6","3,7"
"AAO-3.5","2013-07-31  13:40:09","85","8,13","1413","7,6","17","=","330","-2","0,1","89,2","0,6","78","0,1","114000","0,1","0,3","3,4","1,2","2,22","680","4060","39100","57,1","4,1","50000","20","2,7","24","0,5","7,2","0,5","0,5","1,9","0,7","7,5"
"AAO-3.5","2013-08-28  11:29:52","86","8,17","1174","7,9","17,4","=","180","-2","0,1","1080","1","73,4","0,1","90100","0,1","1,1","3","3,2","3,82","1740","5620","29600","80,6","3,1","100000","20","3,6","71","1,9","83,2","0,5","0,5","1,6","4,4","15"
"AAO-3.5","2013-10-01  12:33:08","82","8,59","1520","7,8","12,9","<","10","1","0,1","106","0,6","84","0,1","113000","0,1","0,3","2,3","1,8","0,5","451","4490","43100","41,5","4","139000","20","2,7","15","0,2","4,2","0,5","0,5","1,9","0,6","3"
"AAO-3.6","2013-04-15  12:29:35","125","15,21","1120","8,1","7","<","10","-2","0,1","240","0,2","64","0,1","95000","0,1","0,2","3,6","0,9","1,6","260","2700","31000","11","2,5","94000","20","2,1","17","0,2","3,2","0,5","0,5","1,6","0,7","5,7"
"AAO-3.6","2013-05-01  12:44:03","125","12,29","1395","8,1","16,9","<","10","1","0,1","87","0,3","72","0,1","110000","0,1","0,2","3,2","0,8","1","270","2800","37000","21","3,7","120000","20","2,2","12","0,2","3,8","0,5","0,5","1,7","0,5","3"
"AAO-3.6","2013-06-03  12:45:26","86","8,69","1183","7,7","15,1","=","250","-1","0,1","160","0,4","71","0,1","91000","0,1","0,2","3,9","0,7","1,7","330","2500","28000","23","3,3","100000","20","2,3","29","0,2","6,2","0,5","0,5","1,4","0,7","4,5"
"AAO-3.6","2013-06-17  13:33:10","99","10,08","1126","7,9","14,1","=","290","-1","0,1","110","0,3","68","0,1","90000","0,1","0,2","3","0,6","1,1","220","2200","27000","13","3","88000","20","1,9","21","0,2","3,7","0,5","0,5","1,3","0,6","3,4"
"AAO-3.6","2013-07-31  14:09:44","101","9,11","1104","8,2","20,2","=","210","-2","0,1","71,6","0,2","76","0,1","101000","0,1","0,1","2,6","0,8","1,01","233","2480","31700","12,9","3,9","50000","20","2,1","27","0,2","3,2","0,5","0,5","1,4","0,7","3"
"AAO-3.6","2013-08-28  12:09:46","101","9,4","1131","8,3","18,8","=","140","-2","0,1","67,4","0,2","66,6","0,1","92400","0,1","0,1","2,2","0,3","1,11","308","2470","29600","19,9","3,9","93600","20","1,8","27","0,2","2,8","0,5","0,5","1,2","0,8","3"
"AAO-3.6","2013-10-01  13:09:59","98","9,75","1224","8,1","15,7","=","18","1","0,1","125","0,2","74,7","0,1","108000","0,1","0,2","2,3","0,7","0,5","381","2950","34500","15","4,3","113000","20","2,2","27","0,2","4,8","0,5","0,5","1,4","0,8","3"
"AAO-6.4","2013-04-15  12:05:35",,,"997","8,2","7","<","10","-2","0,1","300","0,2","45","0,1","88000","0,1","0,2","5","0,8","2,1","300","3200","29000","13","2,5","78000","40","2","29","0,3","4,6","0,5","0,5","1,7","1","7,2"
"AAO-6.4","2013-05-01  12:25:04",,,"1403","8","16,5","<","10","1","0,1","25","0,2","51","0,1","110000","0,1","0,1","3,3","0,5","1,1","81","3100","38000","12","4,6","120000","20","2,3","12","0,2","1,1","0,5","0,5","2","0,3","4,8"
"AAO-6.4","2013-06-03  12:26:49","92","8,95","1233","7,9","16,4","=","340","-1","0,1","130","0,4","53","0,1","100000","0,1","0,2","4,1","1","2,1","300","2700","32000","18","4","110000","20","2,5","43","0,5","11","0,5","0,5","1,9","0,8","10"
"AAO-6.4","2013-06-17  13:10:21","107","10,63","1339","7,9","15,6","=","360","-1","0,1","28","0,3","52","0,1","110000","0,1","0,1","3,5","0,6","1,2","78","2800","32000","7","4,2","110000","20","2,4","19","0,2","1,2","0,5","0,5","1,9","0,6","4,6"
"AAO-6.4","2013-07-31  13:55:18","90","7,81","1117","8","22,1","=","140","-2","0,1","66,5","0,2","56,8","0,1","102000","0,1","0,1","2,9","0,7","1,15","120","2700","31500","13,1","4,6","50000","20","2,3","38","0,2","2,3","0,5","0,5","1,7","0,8","3"
"AAO-6.4","2013-08-28  11:40:10","86","7,75","1249","7,9","20,3","=","130","-2","0,1","83,8","0,2","48,1","0,1","98900","0,1","0,2","2,1","0,3","0,5","149","2560","30800","17,4","4,4","100000","20","2,4","34","0,2","4,2","0,5","0,5","1,6","0,7","3"
"AAO-6.4","2013-10-01  12:49:32","97","9,64","1247","8,3","15,7","=","72","1","0,1","43,7","0,2","48,3","0,1","101000","0,1","0,1","2,5","0,3","0,5","123","2660","33500","12,1","4,3","109000","20","2,6","18","0,2","2,1","0,5","0,5","1,8","0,7","3"
"ANG-2","2013-04-24  13:52:59","105","11,16","526","7,8","12,8","<","10","1","0,1","17","0,6","42","0,1","79000","0,1","0,1","5,3","0,3","0,96","130","2500","17000","52","1","8700","27","0,6","38","0,4","3,2","0,5","0,5","1,2","0,5","3"
"ANG-2","2013-05-22  14:26:23","123","10,99","466","8,2","20,8","<","10","-1","0,1","22","0,9","37","0,1","56000","0,1","0,1","7,3","0,5","0,98","76","1700","17000","25","1","8500","20","0,7","27","0,3","2","0,5","0,5","0,9","0,8","3"
"ANG-2","2013-07-10  13:56:50","94","7,53","354","8","27,1","<","10","0","0,1","12,4","1,3","21,3","0,1","35500","0,1","0,1","5,9","0,3","0,5","97,2","1630","14900","20,8","1","7660","20","0,6","25","0,2","2,6","0,5","0,5","0,5","0,9","3"
"ANG-2","2013-08-19  15:26:01","113","9,28","113","8,1","25,4","=","27","1","0,1","26,9","1,3","33,3","0,1","45300","0,1","0,1","6,3","0,3","0,5","52,7","2240","16200","34,3","1","8940","20","0,5","26","0,2","2,6","0,5","0,5","0,4","1,6","3"
"ANG-2","2013-09-23  14:25:11",,,"406","8,3","16,4","=","18","-1","0,1","33,8","1,1","35,4","0,1","47300","0,1","0,1","7,1","0,3","0,5","57,1","2350","16000","23,6","1","8810","20","0,5","25","0,2","3,3","0,5","0,5","0,5","1,1","3"
