Point d'échantillonnage,Date,%OD,O2 (mg/L),Conductivité (µs/cm2),pH,Température (oC),Signe COLI,COLI,MÉTÉO,Ag (µg/L),Al (µg/L),As (µg/L),Ba (µg/L),Be (µg/L),Ca (µg/L),Cd (µg/L),Co (µg/L),COT (µg/L),Cr (µg/L),Cu (µg/L),Fe (µg/L),K (µg/L),Mg (µg/L),Mn (µg/L),Mo (µg/L),Na (µg/L),NH3 (µg/L),Ni (µg/L),Ptot (µg/L),Pb (µg/L),MES  (mg/L),Sb (µg/L),Se (µg/L),Sn2 ug/L,U (µg/L),V (µg/L),Zn (µg/L)
AAO-0.0,2014-04-29,"103,0","11,5",1259,"7,6","10,2",=,18,-2,"0,1","318,0","0,2","66,5","0,1",96500,"0,1","0,2","4,6","1,1","2,2",348,3760,31500,"21,6","2,7",100000,"20,0","1,9","27,0","0,2","4,3","0,5","0,5","1,0","1,7","0,9","8,2"
AAO-0.0,2014-05-15,"85,0","8,2",1059,"7,6","16,8",=,170,1,"0,1","218,0","0,5","57,6","0,1",81300,"0,1","0,3","5,7","0,6","2,5",356,3470,26400,"45,6","2,6",95300,"20,0","2,0","40,0","0,5","6,0","0,5","0,5","1,0","1,3","1,0","3,0"
AAO-0.0,2014-06-03,"111,0","10,3",1374,"7,7","18,4",=,330,1,"0,1","326,0","0,6","69,5","0,1",93700,"0,1","0,5","4,7","1,0","2,8",615,4060,32600,"132,0","3,6",100000,"48,0","2,6","97,0","1,4","12,8","0,5","0,5","1,0","1,7","1,5","9,1"
AAO-0.0,2014-07-07,"62,0","6,0",1346,"7,7","16,4",=,180,0,"0,1","351,0","0,5","75,1","0,1",111000,"0,1","0,4","3,5","1,0","2,5",530,4370,38400,"44,5","4,2",120000,"95,0","3,0","50,0","1,1","10,6","0,5","0,5","1,0","1,9","1,5","10,9"
AAO-0.0,2014-08-28,"52,0","4,9",1549,"7,8","18,0",=,240,1,"0,1","432,0","0,8","90,0","0,1",110000,"0,1","0,6","5,9","1,3","2,6",785,5670,36600,"70,6","4,7",150000,"92,0","3,5","63,0","1,6","15,2","0,5","0,5","1,0","1,6","1,9","11,0"
AAO-0.0,2014-10-21,"71,6","8,0",1359,"7,7","10,4",=,240,0,"0,1","305,0","0,6","72,0","0,1",118000,"0,1","0,4","3,5","0,9","5,4",640,5100,35700,"54,2","3,8",100000,"60,0","2,7","54,0","0,9","9,6","0,5","0,5","1,0","1,7","1,4","15,0"
AAO-0.0,2014-11-04,"78,4","9,6",559,"7,8","6,8",=,150,1,"0,1","351,0","0,5","36,0","0,1",46000,"0,1",,"5,6","0,9","2,4",547,2320,14700,"26,8","3,2",49600,"38,0",,"46,0","0,7","8,0","0,5","0,5","1,0","0,7","1,1","8,0"
AAO-3.3P6,2014-04-29,"105,0","12,3",1571,"7,9","8,5",=,33000,-2,"0,1","141,0","0,2","51,6","0,1",129000,"0,1","0,2","1,8","0,3","1,9",259,3670,36100,"45,6","2,4",136000,"65,0","2,0","27,0","0,4","5,5","0,5","0,5","1,0","2,0","0,9","7,5"
AAO-3.3P6,2014-05-15,"103,0","11,0",1457,"7,9","12,4",=,640,1,"0,1","117,0","0,2","49,6","0,1",118000,"0,1","0,3","2,9","0,3","2,9",355,3690,30900,"55,9","2,3",138000,"71,0","2,2","33,0","0,2","4,0","0,5","0,5","1,0","1,6","1,1","8,1"
AAO-3.3P6,2014-06-03,"84,0","8,9",1445,"7,9","15,6",=,7000,1,"0,1","286,0","0,5","50,8","0,1",98300,"0,1","0,5","13,1","1,5","13,0",571,4470,27800,"71,1","2,1",100000,"244,0","2,8","91,0","1,1","15,2","0,5","0,5","1,0","1,5","2,0","25,9"
AAO-3.3P6,2014-07-07,"76,0","7,6",1351,"7,6","15,6",=,2600,0,"0,1","125,0","0,2","55,1","0,1",119000,"0,1","0,2","3,4","0,3","2,8",303,4120,33800,"41,1","3,3",108000,"166,0","2,3","47,0","0,2","4,4","0,5","0,5","1,0","1,7","1,0","9,5"
AAO-3.3P6,2014-08-28,"69,0","6,5",1284,"7,9","17,9",=,4200,1,"0,1","58,0","0,4","53,0","0,1",105000,"0,1","0,2","3,4","0,3","2,0",152,3910,26700,"31,9","2,2",113000,"93,0","1,8","46,0","0,2","2,7","0,5","0,5","1,0","1,3","0,9","8,0"
