"Année-Mois";"Station";"Engin";"Latitude";"Longitude";"Secteur";"Espèce";"Commentaires";"Présence / Absence"
"1995-09";"F12";"Filet maillant";"46.20806";"-72.91139";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2012-09";"F103";"Filet maillant";"46.37853";"-72.48409";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2001-09";"F9";"Filet maillant";"45.61438";"-73.4944";"Montréal-Sorel";"Perchaude";"";"Présence"
"2006-09";"F41";"Filet maillant";"46.63575";"-71.75268";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2008-09";"F125";"Filet maillant";"46.40202";"-72.34892";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2013-10";"F35";"Filet maillant";"46.25008";"-72.81482";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1996-09";"F111";"Filet maillant";"45.17083";"-74.31611";"Lac Saint-François";"Perchaude";"";"Présence"
"2008-09";"F123";"Filet maillant";"46.40527";"-72.37097";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2009-09";"F008";"Filet maillant";"46.171";"-72.95966";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2001-09";"F148";"Filet maillant";"46.44229";"-72.25256";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2005-09";"F28";"Filet maillant";"45.34262";"-73.93394";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2006-09";"F25";"Filet maillant";"46.60622";"-71.9767";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2013-10";"F53";"Filet maillant";"45.40183";"-73.84654";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2009-09";"F082";"Filet maillant";"46.17064";"-72.8484";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2002-09";"F062";"Filet maillant";"46.15582";"-72.94215";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2003-09";"F217";"Filet maillant";"46.10118";"-73.10725";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2010-09";"F18";"Filet maillant";"45.64614";"-73.46051";"Montréal-Sorel";"Perchaude";"";"Présence"
"2011-09";"F57";"Filet maillant";"45.38425";"-73.83778";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2011-09";"F038";"Filet maillant";"46.24739";"-72.79999";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2014-09";"F219";"Filet maillant";"45.184";"-74.2424";"Lac Saint-François";"Perchaude";"";"Présence"
"2011-09";"F71";"Filet maillant";"45.42999";"-73.78852";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2007-09";"F098";"Filet maillant";"46.20368";"-72.80074";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2013-09";"F53";"Filet maillant";"46.268307";"-72.688255";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2003-09";"F240";"Filet maillant";"46.115";"-72.98327";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F081";"Filet maillant";"46.18183";"-72.87888";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2004-09";"F228";"Filet maillant";"45.19036";"-74.29037";"Lac Saint-François";"Perchaude";"";"Présence"
"1997-09";"F117";"Filet maillant";"46.70778";"-71.43";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"1997-09";"F32";"Filet maillant";"45.39806";"-73.90944";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2002-09";"F086";"Filet maillant";"46.16082";"-72.83003";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1995-09";"F40";"Filet maillant";"46.15417";"-72.83694";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1996-09";"F1";"Filet maillant";"46.40028";"-72.36806";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2003-09";"F226";"Filet maillant";"46.15453";"-73.0023";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2009-09";"F234";"Filet maillant";"45.16201";"-74.34558";"Lac Saint-François";"Perchaude";"";"Présence"
"2005-09";"F12";"Filet maillant";"45.35256";"-73.82078";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1995-09";"F38";"Filet maillant";"46.14194";"-72.85528";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F121";"Filet maillant";"46.25537";"-72.6595";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2010-09";"F308";"Filet maillant";"45.52444";"-74.26397";"Lac des Deux-Montagnes";"Perchaude";"";"Présence"
"2009-09";"F49";"Filet maillant";"45.4158";"-73.85704";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2011-09";"F45";"Filet maillant";"45.41115";"-73.87388";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2002-09";"F002";"Filet maillant";"46.14017";"-72.96692";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2001-09";"F67";"Filet maillant";"45.8171";"-73.35227";"Montréal-Sorel";"Perchaude";"";"Présence"
"2010-09";"F336";"Filet maillant";"45.46962";"-73.95768";"Lac des Deux-Montagnes";"Perchaude";"";"Présence"
"2002-09";"F069";"Filet maillant";"46.15977";"-72.89702";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1995-09";"F140";"Filet maillant";"46.11556";"-72.98528";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2011-09";"F067";"Filet maillant";"46.17134";"-72.912";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2008-09";"F132";"Filet maillant";"46.4089";"-72.32144";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2008-09";"F148";"Filet maillant";"46.44215";"-72.25171";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2011-09";"F70";"Filet maillant";"45.41908";"-73.78591";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1996-09";"F12";"Filet maillant";"46.505";"-72.21278";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"1997-09";"F28";"Filet maillant";"46.65889";"-71.89083";"Grondines-Saint-Nicolas";"Perchaude";"";"Présence"
"1997-09";"F9";"Filet maillant";"46.22194";"-72.86583";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1997-09";"F106";"Filet maillant";"46.66833";"-71.62";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2005-09";"F62";"Filet maillant";"45.3809";"-73.8188";"Lac Saint-Louis";"Perchaude";"";"Absence"
