STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000101,0,30,0,6,-99
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000102,50,30,2,10,-13
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000103,4,10,4,86,-58
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000104,102,30,36,75,-60
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000105,0,0,0,-58,-126
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000106,0,0,0,2,-126
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000107,60,0,62,16,-71
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000108,0,60,0,-16,-119
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000109,0,50,0,44,-39
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000110,358,0,142,50,2
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000111,12,90,0,53,-1
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000112,0,20,0,-1,-122
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000113,0,10,0,-121,-189
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000114,0,10,0,-160,-205
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000115,0,10,0,-86,-216
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000116,126,90,146,-30,-218
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000117,0,70,0,-189,-255
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000118,0,70,0,-184,-260
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000119,0,70,0,-130,-240
