"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO"
"BLAP-0.5",2006/05/30,"18,5",201,"7,3","=",24,1
"BLAP-0.5",2006/06/19,"21,6",236,"7,8","=",4,1
"BLAP-0.5",2006/07/10,"23,5",188,"7,7","=",18,1
"BLAP-0.5",2006/08/08,"22,4",139,"7,6","=",28,1
"BLAP-0.5",2006/08/14,"20,7",152,"7,7","=",12,1
"BLAP-0.5",2006/09/11,"17,7",192,"8,0","=",14,1
"BLAP-0.5",2006/09/18,"18,7",190,"7,5","=",52,1
"BLAP-0.5",2006/05/15,"13,1",127,"8,0","=",2,0
"BLAP-0.5",2006/06/27,"21,8",249,"7,7","=",5800,0
"BLAP-0.5",2006/07/18,"23,9",234,"7,9","=",410,0
"BLAP-0.5",2006/08/01,"24,8",201,"7,6","=",140,0
"BLAP-0.5",2006/09/04,"18,8",158,"8,0","=",170,0
"BLAP-0.5",2006/07/24,"23,2",205,"7,5","=",22,-1
"BLAP-0.5",2006/08/22,"21,3",165,"7,4","=",56,-1
"BLAP-0.5",2006/08/28,"18,0",162,"7,7","=",94,-1
"BLAP-0.5",2006/05/08,"11,7",128,"11,0","=",2,-2
"BLAP-0.5",2006/05/23,"11,3",136,"7,9","=",18,-2
"BLAP-0.5",2006/06/05,"17,2",175,"7,4","=",8,-2
"BLAP-0.5",2006/06/13,"18,2",159,"7,4","=",16,-2
"BLAP-0.5",2006/07/04,"22,6",207,"7,4","=",360,-2
"BLAP-01",2006/05/30,"19,9",184,"7,3","=",40,1
"BLAP-01",2006/06/19,"21,8",224,"7,4","=",92,1
"BLAP-01",2006/07/10,"24,1",200,"7,6","=",140,1
"BLAP-01",2006/08/08,"22,4",168,"7,6","=",60,1
"BLAP-01",2006/08/14,"21,2",149,"7,8","=",76,1
"BLAP-01",2006/09/11,"18,3",145,"7,8","=",140,1
"BLAP-01",2006/09/18,"18,9",195,"7,2","=",64,1
"BLAP-01",2006/05/15,"14,2",168,"8,1","=",450,0
"BLAP-01",2006/06/27,"22,1",247,"7,4","=",180,0
"BLAP-01",2006/07/18,"22,8",249,"7,5","=",140,0
"BLAP-01",2006/08/01,"24,8",195,"7,5","=",400,0
"BLAP-01",2006/09/04,"19,8",157,"8,3","=",130,0
"BLAP-01",2006/07/24,"23,7",241,"7,1","=",110,-1
"BLAP-01",2006/08/22,"21,9",180,"7,4","=",80,-1
"BLAP-01",2006/08/28,"18,5",161,"7,7","=",6500,-1
"BLAP-01",2006/05/08,"12,8",169,"11,0","=",190,-2
"BLAP-01",2006/05/23,"10,0",153,"7,5","=",96,-2
"BLAP-01",2006/06/05,"18,6",283,"7,2","=",1100,-2
"BLAP-01",2006/06/13,"18,6",206,"7,3","=",60,-2
"BLAP-01",2006/07/04,"23,0",210,"7,3","=",88,-2
"BLAP-02",2006/08/08,"24,7",217,"7,9","=",4,1
"BLAP-02",2006/08/14,"23,0",152,"8,0","=",14,1
"BLAP-02",2006/09/11,"19,7",145,"7,7","=",10,1
"BLAP-02",2006/09/18,"22,0",160,"7,7","=",14,1
"BLAP-02",2006/07/18,"27,4",224,"8,0","=",22,0
"BLAP-02",2006/08/01,"27,8",193,"7,9","=",18,0
"BLAP-02",2006/09/04,"18,5",162,"8,0","=",12,0
"BLAP-02",2006/07/24,"25,2",234,"7,7","=",6,-1
"BLAP-02",2006/08/22,"23,8",151,"8,0","=",14,-1
"BLAP-02",2006/08/28,"19,8",157,"8,0","=",32,-1
"BLAP-02",2006/07/13,,,,"=",36,-2
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-02",,,,,,,
"BLAP-1",2006/05/30,"18,3",194,"7,4","=",58,1
"BLAP-1",2006/06/19,"21,6",235,"7,7","=",10,1
"BLAP-1",2006/07/10,"23,3",200,"7,6","=",10,1
"BLAP-1",2006/08/08,"22,6",152,"7,5","=",36,1
"BLAP-1",2006/08/14,"21,0",176,"7,7","=",4,1
"BLAP-1",2006/09/11,"18,0",215,"8,1","=",20,1
"BLAP-1",2006/09/18,"19,3",207,"7,4","=",30,1
"BLAP-1",2006/05/15,"12,9",139,"7,8","=",26,0
"BLAP-1",2006/06/27,"21,3",236,"7,7","=",42,0
"BLAP-1",2006/07/18,"23,2",244,"7,8","=",82,0
"BLAP-1",2006/08/01,"24,7",212,"7,8","=",4000,0
"BLAP-1",2006/09/04,"18,6",179,"7,9","=",30,0
"BLAP-1",2006/07/24,"23,8",210,"7,7","=",18,-1
"BLAP-1",2006/08/22,"22,0",191,"7,8","=",22,-1
"BLAP-1",2006/08/28,"17,7",204,"7,7","=",62,-1
"BLAP-1",2006/05/08,"11,6",124,"11,0","=",2,-2
"BLAP-1",2006/05/23,"11,5",135,"7,9","=",26,-2
"BLAP-1",2006/06/05,"17,1",181,"7,5","=",16,-2
"BLAP-1",2006/06/13,"17,8",176,"7,5","=",20,-2
"BLAP-1",2006/07/04,"22,6",208,"7,5","=",8,-2
"BLAP-10",2006/05/30,"18,3",213,"7,8","=",64,1
"BLAP-10",2006/06/19,"23,5",244,"8,0","=",210,1
"BLAP-10",2006/07/10,"23,1",187,"8,5","=",8,1
"BLAP-10",2006/08/08,"23,3",222,"8,1","=",50,1
"BLAP-10",2006/08/14,"22,3",231,"8,2","=",16,1
"BLAP-10",2006/09/11,"19,0",247,"8,5","=",2,1
"BLAP-10",2006/09/18,"19,6",242,"7,8","=",16,1
"BLAP-10",2006/05/15,"12,7",194,"7,9","=",8,0
"BLAP-10",2006/06/27,"20,8",259,"7,8","=",1200,0
"BLAP-10",2006/07/18,"24,0",254,"8,0","=",72,0
"BLAP-10",2006/08/01,"24,9",185,"7,9","=",2000,0
"BLAP-10",2006/09/04,"18,0",172,"7,9","=",10,0
"BLAP-10",2006/07/24,"24,3",230,"8,3","=",10,-1
"BLAP-10",2006/08/22,"21,3",248,"8,2","=",32,-1
"BLAP-10",2006/08/28,"18,3",260,"8,0","=",22,-1
"BLAP-10",2006/05/08,"12,9",173,"8,2","=",4,-2
"BLAP-10",2006/05/23,"12,9",169,"8,0","=",26,-2
"BLAP-10",2006/06/05,"19,5",160,"7,7","=",44,-2
"BLAP-10",2006/06/13,"18,8",159,"7,9","=",46,-2
"BLAP-10",2006/07/04,"24,4",223,"8,0","=",54,-2
"BLAP-2",2006/05/30,"19,0",193,"7,5","=",590,1
"BLAP-2",2006/06/19,"21,4",245,"7,7","=",220,1
"BLAP-2",2006/07/10,"23,3",201,"8,3","=",44,1
"BLAP-2",2006/08/08,"23,3",161,"7,7","=",52,1
"BLAP-2",2006/08/14,"21,2",182,"8,1","=",14,1
"BLAP-2",2006/09/11,"17,3",220,"8,1","=",20,1
"BLAP-2",2006/09/18,"18,6",212,"7,7","=",30,1
