"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)"
"BLAP-0.5","2011-07-20  09:51:40","23,9","245","8,4","=","80"
"BLAP-0.5","2011-08-01  09:55:46","24,5","211","8,3","=","3"
"BLAP-0.5","2011-06-07  10:15:31","17,1","195","8,4","=","21"
"BLAP-0.5","2011-06-29  09:45:13","20,4","195","8,1","=","36"
"BLAP-0.5","2011-07-11  10:37:21","22,8","213","8,4","=","16"
"BLAP-0.5","2011-09-06  09:57:40","21,2","230","8,3","=","64"
"BLAP-0.5","2011-05-16  10:06:00","10,9","93","8,3","<","10"
"BLAP-0.5","2011-07-26  09:59:47","24,1","202","8,3","=","7"
"BLAP-0.5","2011-08-10  09:37:18","23,5","236","8,3","=","120"
"BLAP-0.5","2011-08-22  11:01:35","22,1","241","8,3","=","300"
"BLAP-0.5","2011-08-31  10:37:49","20,7","164","8,4","=","110"
"BLAP-0.5","2011-09-21  10:21:50","18,4","204","9","=","42"
"BLAP-0.5","2011-09-27  10:00:50","20","249","8,6","=","48"
"BLAP-0.5","2011-05-23  10:50:00","14,6","144","8,3","=","13"
"BLAP-0.5","2011-06-01  10:39:09","16,2","184","8,1","=","110"
"BLAP-0.5","2011-08-16  09:57:23","23","207","8,4","=","10"
"BLAP-0.5","2011-09-12  11:43:40","21,2","197","8,5","=","170"
"BLAP-0.5","2011-06-15  11:45:33","18,2","213","8,2","=","10"
"BLAP-0.5","2011-06-20  10:55:11","19,4","255","8,4","=","72"
"BLAP-0.5","2011-07-05  10:16:09","21,9","245","8,1","=","33"
"BLAP-01","2011-06-07  10:04:37","18,2","158","8,1","=","52"
"BLAP-01","2011-06-29  09:35:24","20,7","214","8","=","48"
"BLAP-01","2011-07-11  10:26:32","23,7","233","8,1","=","34"
"BLAP-01","2011-07-20  09:41:31","25","236","8,1","=","56"
"BLAP-01","2011-08-01  09:47:33","24,9","224","8,2","=","76"
"BLAP-01","2011-05-16  10:00:00","11,8","108","8,3","=","90"
