"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO","Précipitation totale (mm)"
"BLAP-0.5",2014/06/09,"18,4",234,"8,3","=",28,1,0
"BLAP-0.5",2014/06/30,"22,2",239,"8,2","=",21,1,0
"BLAP-0.5",2014/08/05,"24,0",264,"8,6","=",5,1,0
"BLAP-0.5",2014/08/11,"24,3",273,"8,7","=",2,1,0
"BLAP-0.5",2014/08/20,"21,6",191,"8,4","=",7,1,0
"BLAP-0.5",2014/08/26,"23,3",235,"8,6","=",100,1,0
"BLAP-0.5",2014/09/10,"22,3",97,"8,5","=",5,1,0
"BLAP-0.5",2014/09/29,"18,8",98,"8,9","=",28,1,0
"BLAP-0.5",2014/06/18,"19,4",202,"8,0","=",200,0,25
"BLAP-0.5",2014/06/24,"19,7",224,"8,1","=",25,0,4
"BLAP-0.5",2014/07/15,"21,8",240,"8,6","=",8,0,12
"BLAP-0.5",2014/07/23,"23,7",240,"8,5","=",330,0,11
"BLAP-0.5",2014/10/08,"14,9",111,"8,0","=",63,0,21
"BLAP-0.5",2014/10/15,"15,0",96,"8,0","=",13,0,1
"BLAP-0.5",2014/06/04,"17,8",121,"7,9","=",200,-1,21
"BLAP-0.5",2014/07/09,"22,2",203,"8,1","=",91,-1,15
"BLAP-0.5",2014/07/29,"21,5",248,"8,5","=",18,-1,17
"BLAP-0.5",2014/09/01,"23,0",205,"8,5","=",21,-1,10
"BLAP-0.5",2014/09/22,"16,0",129,"8,2","=",58,-1,5
"BLAP-0.5",2014/09/15,"17,4",150,"8,3","=",23,-2,18
"BLAP-01",2014/06/09,"22,1",143,"8,3","=",7,1,0
"BLAP-01",2014/06/30,"23,3",229,"8,0","=",21,1,0
"BLAP-01",2014/08/05,"24,0",248,"8,4","=",25,1,0
"BLAP-01",2014/08/11,"24,5",272,"8,5","=",25,1,0
"BLAP-01",2014/08/20,"21,7",172,"8,4","=",31,1,0
"BLAP-01",2014/08/26,"23,4",202,"8,5","=",18,1,0
"BLAP-01",2014/09/10,"22,8",182,"8,3","=",48,1,0
"BLAP-01",2014/09/29,"18,3",115,"8,2","=",68,1,0
"BLAP-01",2014/06/18,"20,5",195,"8,1","=",150,0,25
"BLAP-01",2014/06/24,"21,3",224,"8,5","=",200,0,4
"BLAP-01",2014/07/15,"22,4",245,"8,2","=",170,0,12
"BLAP-01",2014/07/23,"24,3",238,"8,3","=",90,0,11
"BLAP-01",2014/10/08,"14,9",109,"8,1","=",110,0,21
"BLAP-01",2014/10/15,"15,7",99,"8,1","=",76,0,1
"BLAP-01",2014/06/04,"19,2",132,"7,9","=",5100,-1,21
"BLAP-01",2014/07/09,"22,4",257,"8,1","=",50,-1,15
"BLAP-01",2014/07/29,"22,2",216,"8,2","=",180,-1,17
"BLAP-01",2014/09/01,"22,5",206,"8,3","=",98,-1,10
"BLAP-01",2014/09/22,"15,9",138,"8,3","=",98,-1,5
"BLAP-01",2014/09/15,"17,7",169,"8,2","=",82,-2,18
"BLAP-02",2014/06/09,"21,8",149,"8,6","=",70,1,0
"BLAP-02",2014/06/30,"24,4",233,"8,2","=",13,1,0
"BLAP-02",2014/08/05,"24,0",264,"8,6","=",3,1,0
"BLAP-02",2014/08/11,"25,4",267,"8,6","=",3,1,0
"BLAP-02",2014/08/20,"22,5",231,"8,4","=",3,1,0
"BLAP-02",2014/08/26,"23,7",197,"8,5","=",8,1,0
"BLAP-02",2014/09/10,"23,5",196,"8,4","=",10,1,0
"BLAP-02",2014/09/29,"18,8",130,"8,5","=",11,1,0
"BLAP-02",2014/06/18,"21,5",184,"8,4","=",20,0,25
"BLAP-02",2014/06/24,"21,8",218,"8,2","=",15,0,14
"BLAP-02",2014/07/15,"22,9",247,"8,1","=",3,0,12
"BLAP-02",2014/07/23,"24,9",232,"8,3","=",8,0,11
"BLAP-02",2014/10/08,"15,8",108,"8,3","=",13,0,21
"BLAP-02",2014/10/15,"15,4",121,"8,2","=",2,0,1
"BLAP-02",2014/06/04,"20,1",111,"8,1","=",3,-1,21
"BLAP-02",2014/07/09,"23,4",263,"8,3","=",42,-1,15
"BLAP-02",2014/07/29,"22,7",261,"8,3","=",12,-1,17
"BLAP-02",2014/09/01,"23,5",221,"8,4","=",2,-1,10
"BLAP-02",2014/09/22,"16,0",151,"8,5","=",7,-1,5
"BLAP-02",2014/09/15,"18,6",174,"8,4","<",2,-2,18
"BLAP-1",2014/06/09,"17,8",236,"8,1","=",3,1,0
"BLAP-1",2014/06/30,"21,7",240,"8,1","=",13,1,0
"BLAP-1",2014/08/05,"22,8",274,"8,5","=",5,1,0
"BLAP-1",2014/08/11,"23,5",273,"8,6","=",2,1,0
"BLAP-1",2014/08/20,"21,1",210,"8,3","=",7,1,0
"BLAP-1",2014/08/26,"22,8",245,"8,5","=",5,1,0
"BLAP-1",2014/09/10,"21,7",172,"8,3","=",11,1,0
"BLAP-1",2014/09/29,"18,6",131,"8,5","=",33,1,0
"BLAP-1",2014/06/18,"19,0",206,"8,0","=",360,0,25
"BLAP-1",2014/06/24,"19,7",227,"8,1","=",11,0,12
"BLAP-1",2014/07/15,"21,6",246,"8,4","=",23,0,12
"BLAP-1",2014/07/23,"23,1",241,"8,4","=",420,0,11
"BLAP-1",2014/10/08,"15,3",140,"8,0","=",50,0,21
"BLAP-1",2014/10/15,"14,9",124,"8,0","=",15,0,1
"BLAP-1",2014/06/04,"17,5",129,"7,8","=",100,-1,21
"BLAP-1",2014/07/09,"21,8",223,"8,1","=",18,-1,15
"BLAP-1",2014/07/29,"21,3",243,"8,4","=",10,-1,17
"BLAP-1",2014/09/01,"22,2",235,"8,4","=",18,-1,10
"BLAP-1",2014/09/22,"16,5",164,"8,2","=",20,-1,5
"BLAP-1",2014/09/15,"17,2",183,"8,3","=",31,-2,18
"BLAP-10.5",2014/08/19,"19,5",296,"8,1","=",16,1,0
"BLAP-10.5",2014/08/27,"22,2",322,"8,2","=",180,1,0
"BLAP-10.5",2014/09/09,"20,7",266,"8,2","=",34,1,0
"BLAP-10.5",2014/09/16,"17,1",285,"8,2","=",18,1,0
"BLAP-10.5",2014/10/01,"16,9",249,"8,5","=",13,1,0
"BLAP-10.5",2014/06/03,"17,4",201,"8,7","<",2,1,0
"BLAP-10.5",2014/06/11,"18,2",218,"8,3","=",13,1,0
"BLAP-10.5",2014/06/17,"18,2",243,"7,9","=",100,1,0
"BLAP-10.5",2014/06/23,"19,5",243,"8,0","=",8,1,0
"BLAP-10.5",2014/07/02,"21,8",319,"7,9","=",18,1,0
"BLAP-10.5",2014/07/21,"21,8",299,"8,3","=",18,1,0
"BLAP-10.5",2014/08/04,"22,1",319,"8,3","=",25,1,0
"BLAP-10.5",2014/08/13,"20,6",178,"7,8","=",1800,0,27
"BLAP-10.5",2014/10/07,"15,2",353,"7,8","=",33,0,2
"BLAP-10.5",2014/10/15,"15,2",222,"8,0","=",8,0,1
"BLAP-10.5",2014/09/24,"16,1",279,"8,2","=",11,-1,1
"BLAP-10.5",2014/07/08,"20,5",372,"7,9","=",50,-1,9
"BLAP-10.5",2014/07/16,"20,2",457,"7,8","=",64,-1,2
"BLAP-10.5",2014/09/02,"22,3",274,"8,2","=",18,-2,10
"BLAP-10.5",2014/07/30,"20,6",293,"8,2","=",31,-2,8
"BLAP-2.5",2014/06/09,"18,6",137,"8,1","=",63,1,0
"BLAP-2.5",2014/06/30,"22,5",232,"8,1","=",88,1,0
"BLAP-2.5",2014/08/05,"23,4",267,"8,7","=",31,1,0
"BLAP-2.5",2014/08/11,"24,6",261,"8,8","=",15,1,0
"BLAP-2.5",2014/08/20,"21,8",221,"8,5","=",33,1,0
