Année,Latitude,Longitude,Espèce,Engin,Secteur,Station,Agence,Nombre d'individus
Jun-00,45.341667,-73.845,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Îles de la Paix,EC-CSL,2
Aug-00,45.703888,-73.4525,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îlet Vert,EC-CSL,1
May-00,46.74111,-71.295,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,20
Jun-00,46.166668,-72.76667,Écrevisse à épines,unknown,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,1
Aug-01,46.74153,-71.29483,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,5
Sep-01,46.74153,-71.29483,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,19
Jun-01,46.74153,-71.29483,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
Aug-01,45.045,-74.55972,Écrevisse à pinces bleues,Manuelle,Lac Saint-François,Lac St-François,EC-CSL,3
Aug-12,45.124443,-73.99167,Écrevisse à rostre caréné,Manuelle,Tributaire sud,Ormstown,EC-CSL,1
Aug-00,45.6039,-72.7277,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Noire,UQTR,3
Sep-02,45.3653,-73.8539,Écrevisse à épines,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,52
Oct-00,45.143055,-74.40806,Écrevisse à pinces bleues,Nasse à méné,Lac Saint-François,Lac St-François,EC-CSL,1
Aug-01,45.926666,-73.24333,Hybride,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,2
Aug-01,46.5837,-72.050186,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,Grondines,EC-CSL,14
Jun-00,46.4407,-73.1488,Écrevisse à rostre caréné,Filet troubleau,Tributaire nord,Rivière du Loup,UQTR,1
Jun-48,46.06028,-72.8025,Écrevisse à rostre caréné,unknown,Tributaire sud,Rivière St-François,EC-CSL,13
Aug-00,46.74111,-71.295,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,72
Jun-01,46.448368,-72.22577,Hybride,Nasse à méné,Bécancour-Batiscan,St-Pierre-les-Becquets,EC-CSL,1
May-01,46.741566,-71.2939,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Oct-01,46.74153,-71.29483,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,151
